Date,Event,Type
01/05/2016,May Day,Holidays in South Sudan
16/05/2016,SPLA Day,Holidays in South Sudan
04/07/2016,Mother's Day,Holidays in South Sudan
05/07/2016,Eid al-Fitr,Holidays in South Sudan
09/07/2016,Independence Day,Holidays in South Sudan
30/07/2016,Martyrs Day,Holidays in South Sudan
22/08/2016,Father's Day,Holidays in South Sudan
13/09/2016,Eid al-Adha,Holidays in South Sudan
13/11/2016,Grandparents' Day,Holidays in South Sudan
25/12/2016,Christmas Day,Holidays in South Sudan
28/12/2016,Republic Day,Holidays in South Sudan
31/12/2016,New Year's Eve,Holidays in South Sudan
01/01/2017,New Year,Holidays in South Sudan
09/01/2017,Peace Agreement Day,Holidays in South Sudan
14/02/2017,Valentine's Day,Holidays in South Sudan
08/03/2017,International Women's Day,Holidays in South Sudan
01/05/2017,May Day,Holidays in South Sudan
16/05/2017,SPLA Day,Holidays in South Sudan
26/06/2017,Eid al-Fitr,Holidays in South Sudan
03/07/2017,Mother's Day,Holidays in South Sudan
09/07/2017,Independence Day,Holidays in South Sudan
30/07/2017,Martyrs Day,Holidays in South Sudan
28/08/2017,Father's Day,Holidays in South Sudan
02/09/2017,Eid al-Adha,Holidays in South Sudan
12/11/2017,Grandparents' Day,Holidays in South Sudan
25/12/2017,Christmas Day,Holidays in South Sudan
28/12/2017,Republic Day,Holidays in South Sudan
31/12/2017,New Year's Eve,Holidays in South Sudan
01/01/2018,New Year,Holidays in South Sudan
09/01/2018,Peace Agreement Day,Holidays in South Sudan
14/02/2018,Valentine's Day,Holidays in South Sudan
08/03/2018,International Women's Day,Holidays in South Sudan
01/05/2018,May Day,Holidays in South Sudan
16/05/2018,SPLA Day,Holidays in South Sudan
15/06/2018,Eid al-Fitr,Holidays in South Sudan
02/07/2018,Mother's Day,Holidays in South Sudan
09/07/2018,Independence Day,Holidays in South Sudan
30/07/2018,Martyrs Day,Holidays in South Sudan
22/08/2018,Eid al-Adha,Holidays in South Sudan
27/08/2018,Father's Day,Holidays in South Sudan
11/11/2018,Grandparents' Day,Holidays in South Sudan
25/12/2018,Christmas Day,Holidays in South Sudan
28/12/2018,Republic Day,Holidays in South Sudan
01/01/2016,New Year,Holidays in Sao Tome and Principe
04/01/2016,Day of King Amador,Holidays in Sao Tome and Principe
03/02/2016,Commemoration of the Batepá Massacre,Holidays in Sao Tome and Principe
01/05/2016,Labour Day,Holidays in Sao Tome and Principe
12/07/2016,Independence Day,Holidays in Sao Tome and Principe
06/09/2016,Armed Forces' Day,Holidays in Sao Tome and Principe
30/09/2016,Nationalization of the Roças,Holidays in Sao Tome and Principe
25/12/2016,Christmas Day,Holidays in Sao Tome and Principe
01/01/2017,New Year,Holidays in Sao Tome and Principe
04/01/2017,Day of King Amador,Holidays in Sao Tome and Principe
03/02/2017,Commemoration of the Batepá Massacre,Holidays in Sao Tome and Principe
01/05/2017,Labour Day,Holidays in Sao Tome and Principe
12/07/2017,Independence Day,Holidays in Sao Tome and Principe
06/09/2017,Armed Forces' Day,Holidays in Sao Tome and Principe
30/09/2017,Nationalization of the Roças,Holidays in Sao Tome and Principe
25/12/2017,Christmas Day,Holidays in Sao Tome and Principe
01/01/2018,New Year,Holidays in Sao Tome and Principe
04/01/2018,Day of King Amador,Holidays in Sao Tome and Principe
03/02/2018,Commemoration of the Batepá Massacre,Holidays in Sao Tome and Principe
01/05/2018,Labour Day,Holidays in Sao Tome and Principe
12/07/2018,Independence Day,Holidays in Sao Tome and Principe
06/09/2018,Armed Forces' Day,Holidays in Sao Tome and Principe
30/09/2018,Nationalization of the Roças,Holidays in Sao Tome and Principe
25/12/2018,Christmas Day,Holidays in Sao Tome and Principe
01/01/2016,New Year's Day,Holidays in El Salvador
16/01/2016,Signing of the Peace Accords,Holidays in El Salvador
08/03/2016,Women's Day,Holidays in El Salvador
20/03/2016,Palm Sunday,Holidays in El Salvador
24/03/2016,Maundy Thursday,Holidays in El Salvador
25/03/2016,Good Friday,Holidays in El Salvador
26/03/2016,Holy Saturday,Holidays in El Salvador
26/03/2016,"National Day of Life, Peace and Justice",Holidays in El Salvador
27/03/2016,Easter Day,Holidays in El Salvador
01/05/2016,Labor Day / May Day,Holidays in El Salvador
03/05/2016,Cross Day,Holidays in El Salvador
07/05/2016,Soldiers' Day,Holidays in El Salvador
10/05/2016,Mothers' Day,Holidays in El Salvador
17/06/2016,Fathers' Day,Holidays in El Salvador
22/06/2016,Teachers' Day,Holidays in El Salvador
04/08/2016,Celebrations of San Salvador,Holidays in El Salvador
05/08/2016,Celebrations of San Salvador,Holidays in El Salvador
06/08/2016,Celebrations of San Salvador,Holidays in El Salvador
15/09/2016,Independence Day,Holidays in El Salvador
01/10/2016,Children´s Day,Holidays in El Salvador
12/10/2016,Columbus Day,Holidays in El Salvador
02/11/2016,All Saints Day,Holidays in El Salvador
24/12/2016,Christmas Eve,Holidays in El Salvador
25/12/2016,Christmas Day,Holidays in El Salvador
26/12/2016,Christmas Day observed,Holidays in El Salvador
31/12/2016,New Year's Eve,Holidays in El Salvador
01/01/2017,New Year's Day,Holidays in El Salvador
16/01/2017,Signing of the Peace Accords,Holidays in El Salvador
08/03/2017,Women's Day,Holidays in El Salvador
26/03/2017,"National Day of Life, Peace and Justice",Holidays in El Salvador
09/04/2017,Palm Sunday,Holidays in El Salvador
13/04/2017,Maundy Thursday,Holidays in El Salvador
14/04/2017,Good Friday,Holidays in El Salvador
15/04/2017,Holy Saturday,Holidays in El Salvador
16/04/2017,Easter Day,Holidays in El Salvador
01/05/2017,Labor Day / May Day,Holidays in El Salvador
03/05/2017,Cross Day,Holidays in El Salvador
07/05/2017,Soldiers' Day,Holidays in El Salvador
10/05/2017,Mothers' Day,Holidays in El Salvador
17/06/2017,Fathers' Day,Holidays in El Salvador
22/06/2017,Teachers' Day,Holidays in El Salvador
04/08/2017,Celebrations of San Salvador,Holidays in El Salvador
05/08/2017,Celebrations of San Salvador,Holidays in El Salvador
06/08/2017,Celebrations of San Salvador,Holidays in El Salvador
15/09/2017,Independence Day,Holidays in El Salvador
01/10/2017,Children´s Day,Holidays in El Salvador
12/10/2017,Columbus Day,Holidays in El Salvador
02/11/2017,All Saints Day,Holidays in El Salvador
24/12/2017,Christmas Eve,Holidays in El Salvador
25/12/2017,Christmas Day,Holidays in El Salvador
31/12/2017,New Year's Eve,Holidays in El Salvador
01/01/2018,New Year's Day,Holidays in El Salvador
16/01/2018,Signing of the Peace Accords,Holidays in El Salvador
08/03/2018,Women's Day,Holidays in El Salvador
25/03/2018,Palm Sunday,Holidays in El Salvador
26/03/2018,"National Day of Life, Peace and Justice",Holidays in El Salvador
29/03/2018,Maundy Thursday,Holidays in El Salvador
30/03/2018,Good Friday,Holidays in El Salvador
31/03/2018,Holy Saturday,Holidays in El Salvador
01/04/2018,Easter Day,Holidays in El Salvador
01/05/2018,Labor Day / May Day,Holidays in El Salvador
03/05/2018,Cross Day,Holidays in El Salvador
07/05/2018,Soldiers' Day,Holidays in El Salvador
10/05/2018,Mothers' Day,Holidays in El Salvador
17/06/2018,Fathers' Day,Holidays in El Salvador
22/06/2018,Teachers' Day,Holidays in El Salvador
04/08/2018,Celebrations of San Salvador,Holidays in El Salvador
05/08/2018,Celebrations of San Salvador,Holidays in El Salvador
06/08/2018,Celebrations of San Salvador,Holidays in El Salvador
15/09/2018,Independence Day,Holidays in El Salvador
01/10/2018,Children´s Day,Holidays in El Salvador
12/10/2018,Columbus Day,Holidays in El Salvador
02/11/2018,All Saints Day,Holidays in El Salvador
24/12/2018,Christmas Eve,Holidays in El Salvador
25/12/2018,Christmas Day,Holidays in El Salvador
01/01/2016,New Year's Day,Holidays in Sweden
06/01/2016,Epiphany,Holidays in Sweden
25/03/2016,Good Friday,Holidays in Sweden
27/03/2016,Daylight Saving Time starts,Holidays in Sweden
27/03/2016,Easter Day,Holidays in Sweden
28/03/2016,Easter Monday,Holidays in Sweden
01/05/2016,May 1st,Holidays in Sweden
05/05/2016,Ascension Day,Holidays in Sweden
15/05/2016,Whit Sunday,Holidays in Sweden
29/05/2016,Mother's Day,Holidays in Sweden
06/06/2016,National day,Holidays in Sweden
24/06/2016,Midsummer Eve,Holidays in Sweden
25/06/2016,Midsummer Day,Holidays in Sweden
30/10/2016,Daylight Saving Time ends,Holidays in Sweden
05/11/2016,All Saints' Day,Holidays in Sweden
13/11/2016,Father's Day,Holidays in Sweden
24/12/2016,Christmas Eve,Holidays in Sweden
25/12/2016,Christmas Day,Holidays in Sweden
26/12/2016,Boxing Day,Holidays in Sweden
31/12/2016,New Year's Eve,Holidays in Sweden
01/01/2017,New Year's Day,Holidays in Sweden
06/01/2017,Epiphany,Holidays in Sweden
26/03/2017,Daylight Saving Time starts,Holidays in Sweden
14/04/2017,Good Friday,Holidays in Sweden
16/04/2017,Easter Day,Holidays in Sweden
17/04/2017,Easter Monday,Holidays in Sweden
01/05/2017,May 1st,Holidays in Sweden
25/05/2017,Ascension Day,Holidays in Sweden
28/05/2017,Mother's Day,Holidays in Sweden
04/06/2017,Whit Sunday,Holidays in Sweden
06/06/2017,National day,Holidays in Sweden
23/06/2017,Midsummer Eve,Holidays in Sweden
24/06/2017,Midsummer Day,Holidays in Sweden
29/10/2017,Daylight Saving Time ends,Holidays in Sweden
04/11/2017,All Saints' Day,Holidays in Sweden
12/11/2017,Father's Day,Holidays in Sweden
24/12/2017,Christmas Eve,Holidays in Sweden
25/12/2017,Christmas Day,Holidays in Sweden
26/12/2017,Boxing Day,Holidays in Sweden
31/12/2017,New Year's Eve,Holidays in Sweden
01/01/2018,New Year's Day,Holidays in Sweden
06/01/2018,Epiphany,Holidays in Sweden
25/03/2018,Daylight Saving Time starts,Holidays in Sweden
30/03/2018,Good Friday,Holidays in Sweden
01/04/2018,Easter Day,Holidays in Sweden
02/04/2018,Easter Monday,Holidays in Sweden
01/05/2018,May 1st,Holidays in Sweden
10/05/2018,Ascension Day,Holidays in Sweden
20/05/2018,Whit Sunday,Holidays in Sweden
27/05/2018,Mother's Day,Holidays in Sweden
06/06/2018,National day,Holidays in Sweden
22/06/2018,Midsummer Eve,Holidays in Sweden
23/06/2018,Midsummer Day,Holidays in Sweden
28/10/2018,Daylight Saving Time ends,Holidays in Sweden
03/11/2018,All Saints' Day,Holidays in Sweden
11/11/2018,Father's Day,Holidays in Sweden
24/12/2018,Christmas Eve,Holidays in Sweden
25/12/2018,Christmas Day,Holidays in Sweden
26/12/2018,Boxing Day,Holidays in Sweden
01/01/2016,New Year,Holidays in Syrian Arab Republic
08/03/2016,Revolution Day,Holidays in Syrian Arab Republic
21/03/2016,Mothers' Day,Holidays in Syrian Arab Republic
25/03/2016,Daylight Saving Time starts,Holidays in Syrian Arab Republic
27/03/2016,Easter Day,Holidays in Syrian Arab Republic
17/04/2016,Independence Day,Holidays in Syrian Arab Republic
01/05/2016,May Day,Holidays in Syrian Arab Republic
01/05/2016,Orthodox Easter Day,Holidays in Syrian Arab Republic
06/05/2016,Martyrs' Day,Holidays in Syrian Arab Republic
05/07/2016,Eid al-Fitr,Holidays in Syrian Arab Republic
13/09/2016,Eid al-Adha,Holidays in Syrian Arab Republic
03/10/2016,Muharram,Holidays in Syrian Arab Republic
06/10/2016,October Liberation Day,Holidays in Syrian Arab Republic
28/10/2016,Daylight Saving Time ends,Holidays in Syrian Arab Republic
12/12/2016,The Prophet's Birthday,Holidays in Syrian Arab Republic
25/12/2016,Christmas Day,Holidays in Syrian Arab Republic
01/01/2017,New Year,Holidays in Syrian Arab Republic
08/03/2017,Revolution Day,Holidays in Syrian Arab Republic
21/03/2017,Mothers' Day,Holidays in Syrian Arab Republic
31/03/2017,Daylight Saving Time starts,Holidays in Syrian Arab Republic
16/04/2017,Easter Day,Holidays in Syrian Arab Republic
16/04/2017,Orthodox Easter Day,Holidays in Syrian Arab Republic
17/04/2017,Independence Day,Holidays in Syrian Arab Republic
01/05/2017,May Day,Holidays in Syrian Arab Republic
06/05/2017,Martyrs' Day,Holidays in Syrian Arab Republic
26/06/2017,Eid al-Fitr,Holidays in Syrian Arab Republic
02/09/2017,Eid al-Adha,Holidays in Syrian Arab Republic
22/09/2017,Muharram,Holidays in Syrian Arab Republic
06/10/2017,October Liberation Day,Holidays in Syrian Arab Republic
27/10/2017,Daylight Saving Time ends,Holidays in Syrian Arab Republic
01/12/2017,The Prophet's Birthday,Holidays in Syrian Arab Republic
25/12/2017,Christmas Day,Holidays in Syrian Arab Republic
01/01/2018,New Year,Holidays in Syrian Arab Republic
08/03/2018,Revolution Day,Holidays in Syrian Arab Republic
21/03/2018,Mothers' Day,Holidays in Syrian Arab Republic
30/03/2018,Daylight Saving Time starts,Holidays in Syrian Arab Republic
01/04/2018,Easter Day,Holidays in Syrian Arab Republic
08/04/2018,Orthodox Easter Day,Holidays in Syrian Arab Republic
17/04/2018,Independence Day,Holidays in Syrian Arab Republic
01/05/2018,May Day,Holidays in Syrian Arab Republic
06/05/2018,Martyrs' Day,Holidays in Syrian Arab Republic
15/06/2018,Eid al-Fitr,Holidays in Syrian Arab Republic
22/08/2018,Eid al-Adha,Holidays in Syrian Arab Republic
12/09/2018,Muharram,Holidays in Syrian Arab Republic
06/10/2018,October Liberation Day,Holidays in Syrian Arab Republic
26/10/2018,Daylight Saving Time ends,Holidays in Syrian Arab Republic
21/11/2018,The Prophet's Birthday,Holidays in Syrian Arab Republic
25/12/2018,Christmas Day,Holidays in Syrian Arab Republic
01/01/2016,New Year,Holidays in Swaziland
25/03/2016,Good Friday,Holidays in Swaziland
28/03/2016,Easter Monday,Holidays in Swaziland
22/04/2016,Birthday of King Mswati III,Holidays in Swaziland
25/04/2016,National Flag Day,Holidays in Swaziland
01/05/2016,May Day,Holidays in Swaziland
05/05/2016,Ascension Day,Holidays in Swaziland
22/07/2016,Birthday of the late King Sobhuza,Holidays in Swaziland
31/08/2016,Umhlanga Reed Dance,Holidays in Swaziland
06/09/2016,Smhlolo Day (Independence Day),Holidays in Swaziland
25/12/2016,Christmas Day,Holidays in Swaziland
26/12/2016,Boxing Day,Holidays in Swaziland
28/12/2016,Incwala Day,Holidays in Swaziland
01/01/2017,New Year,Holidays in Swaziland
14/04/2017,Good Friday,Holidays in Swaziland
17/04/2017,Easter Monday,Holidays in Swaziland
19/04/2017,Birthday of King Mswati III,Holidays in Swaziland
25/04/2017,National Flag Day,Holidays in Swaziland
01/05/2017,May Day,Holidays in Swaziland
25/05/2017,Ascension Day,Holidays in Swaziland
22/07/2017,Birthday of the late King Sobhuza,Holidays in Swaziland
31/08/2017,Umhlanga Reed Dance,Holidays in Swaziland
06/09/2017,Smhlolo Day (Independence Day),Holidays in Swaziland
25/12/2017,Christmas Day,Holidays in Swaziland
26/12/2017,Boxing Day,Holidays in Swaziland
28/12/2017,Incwala Day,Holidays in Swaziland
01/01/2018,New Year,Holidays in Swaziland
30/03/2018,Good Friday,Holidays in Swaziland
02/04/2018,Easter Monday,Holidays in Swaziland
19/04/2018,Birthday of King Mswati III,Holidays in Swaziland
25/04/2018,National Flag Day,Holidays in Swaziland
01/05/2018,May Day,Holidays in Swaziland
10/05/2018,Ascension Day,Holidays in Swaziland
22/07/2018,Birthday of the late King Sobhuza,Holidays in Swaziland
31/08/2018,Umhlanga Reed Dance,Holidays in Swaziland
06/09/2018,Smhlolo Day (Independence Day),Holidays in Swaziland
25/12/2018,Christmas Day,Holidays in Swaziland
26/12/2018,Boxing Day,Holidays in Swaziland
28/12/2018,Incwala Day,Holidays in Swaziland
01/01/2016,Republic Day/New Year's Day,Holidays in Taiwan
04/02/2016,Farmer's Day,Holidays in Taiwan
07/02/2016,Chinese New Year's Eve,Holidays in Taiwan
08/02/2016,Chinese New Year's Day,Holidays in Taiwan
09/02/2016,Chinese New Year Holiday 1,Holidays in Taiwan
10/02/2016,Chinese New Year Holiday 2,Holidays in Taiwan
11/02/2016,Chinese New Year Holiday 3,Holidays in Taiwan
12/02/2016,Chinese New Year Holiday 4,Holidays in Taiwan
22/02/2016,Lantern Festival,Holidays in Taiwan
28/02/2016,228 Memorial Day,Holidays in Taiwan
29/02/2016,228 Memorial Day observed,Holidays in Taiwan
08/03/2016,Women's Day,Holidays in Taiwan
29/03/2016,Youth Day,Holidays in Taiwan
04/04/2016,Children's Day,Holidays in Taiwan
05/04/2016,Tomb Sweeping Day,Holidays in Taiwan
01/05/2016,Labor Day,Holidays in Taiwan
02/05/2016,Labor Day observed,Holidays in Taiwan
09/06/2016,Dragon Boat Festival,Holidays in Taiwan
10/06/2016,Dragon Boat Festival holiday,Holidays in Taiwan
17/08/2016,Ghost Festival,Holidays in Taiwan
03/09/2016,Armed Forces Day,Holidays in Taiwan
15/09/2016,Mid-Autumn Festival,Holidays in Taiwan
28/09/2016,Teachers' Day,Holidays in Taiwan
09/10/2016,Double Ninth Day,Holidays in Taiwan
10/10/2016,National Day/Double Tenth Day,Holidays in Taiwan
25/10/2016,Taiwan's Retrocession Day,Holidays in Taiwan
25/12/2016,Constitution Day,Holidays in Taiwan
01/01/2017,Republic Day/New Year's Day,Holidays in Taiwan
02/01/2017,Republic Day/New Year's Day observed,Holidays in Taiwan
27/01/2017,Chinese New Year's Eve,Holidays in Taiwan
28/01/2017,Chinese New Year's Day,Holidays in Taiwan
29/01/2017,Chinese New Year Holiday 1,Holidays in Taiwan
30/01/2017,Chinese New Year Holiday 2,Holidays in Taiwan
31/01/2017,Chinese New Year Holiday 3,Holidays in Taiwan
01/02/2017,Chinese New Year Holiday 4,Holidays in Taiwan
04/02/2017,Farmer's Day,Holidays in Taiwan
11/02/2017,Lantern Festival,Holidays in Taiwan
